I, [2016-03-01T10:56:17.755653 #8503]  INFO -- : Testing ----> [HP SiteScope] http://209.123.98.171:80/SiteScope/
I, [2016-03-01T10:56:17.889887 #8503]  INFO -- : Testing ----> [Owl Intranet Engine] https://209.123.98.171:443/owl/admin/index.php?userid=1&newuser
I, [2016-03-01T10:56:18.580001 #8503]  INFO -- : <<<Primary path {https://209.123.98.171:443/owl/admin/index.php?userid=1&newuser} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:18.580065 #8503]  INFO -- : Testing ----> [Owl Intranet Engine] https://209.123.98.171:443/owl/admin/index.php?userid=1&action=edituser&owluser=1
I, [2016-03-01T10:56:19.006883 #8503]  INFO -- : Testing ----> [Owl Intranet Engine] http://209.123.98.171:80/owl/admin/index.php?userid=1&newuser
I, [2016-03-01T10:56:19.162716 #8503]  INFO -- : <<<Primary path {http://209.123.98.171:80/owl/admin/index.php?userid=1&newuser} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:19.162774 #8503]  INFO -- : Testing ----> [Owl Intranet Engine] http://209.123.98.171:80/owl/admin/index.php?userid=1&action=edituser&owluser=1
I, [2016-03-01T10:56:19.367446 #8503]  INFO -- : Testing ----> [Oracle Endeca Server] https://209.123.98.171:443/ws/control
I, [2016-03-01T10:56:19.664014 #8503]  INFO -- : Testing ----> [Oracle Endeca Server] http://209.123.98.171:80/ws/control
I, [2016-03-01T10:56:19.792787 #8503]  INFO -- : Testing ----> [HP AutoPass License Server] https://209.123.98.171:443/autopass
I, [2016-03-01T10:56:20.103141 #8503]  INFO -- : Testing ----> [HP AutoPass License Server] http://209.123.98.171:80/autopass
I, [2016-03-01T10:56:20.242815 #8503]  INFO -- : Testing ----> [Dell SonicWALL (Plixer) Scrutinizer] https://209.123.98.171:443/d4d/statusFilter.php
I, [2016-03-01T10:56:20.492419 #8503]  INFO -- : Testing ----> [Dell SonicWALL (Plixer) Scrutinizer] http://209.123.98.171:80/d4d/statusFilter.php
I, [2016-03-01T10:56:20.636555 #8503]  INFO -- : Testing ----> [v0pCr3w] https://209.123.98.171:443/jos.php
I, [2016-03-01T10:56:20.863514 #8503]  INFO -- : Testing ----> [v0pCr3w] http://209.123.98.171:80/jos.php
I, [2016-03-01T10:56:21.036817 #8503]  INFO -- : Testing ----> [Moodle] https://209.123.98.171:443/moodle/
I, [2016-03-01T10:56:21.521901 #8503]  INFO -- : Testing ----> [Moodle] http://209.123.98.171:80/moodle/
I, [2016-03-01T10:56:21.705573 #8503]  INFO -- : Testing ----> [Auxilium RateMyPet] https://209.123.98.171:443/Auxiliumpetratepro/
I, [2016-03-01T10:56:22.125813 #8503]  INFO -- : Testing ----> [Auxilium RateMyPet] http://209.123.98.171:80/Auxiliumpetratepro/
I, [2016-03-01T10:56:22.269958 #8503]  INFO -- : Testing ----> [STUNSHELL] https://209.123.98.171:443/IDC.php
I, [2016-03-01T10:56:22.480610 #8503]  INFO -- : Testing ----> [STUNSHELL] http://209.123.98.171:80/IDC.php
I, [2016-03-01T10:56:22.606492 #8503]  INFO -- : Testing ----> [Sflog CMS] https://209.123.98.171:443/sflog/
I, [2016-03-01T10:56:23.044431 #8503]  INFO -- : Testing ----> [Sflog CMS] http://209.123.98.171:80/sflog/
I, [2016-03-01T10:56:23.460078 #8503]  INFO -- : Testing ----> [Apache Struts] https://209.123.98.171:443/blank-struts2/login.action
I, [2016-03-01T10:56:23.630135 #8503]  INFO -- : Testing ----> [Apache Struts] http://209.123.98.171:80/blank-struts2/login.action
I, [2016-03-01T10:56:23.939153 #8503]  INFO -- : Testing ----> [MobileCartly] https://209.123.98.171:443/mobilecartly/
I, [2016-03-01T10:56:24.214056 #8503]  INFO -- : Testing ----> [MobileCartly] http://209.123.98.171:80/mobilecartly/
I, [2016-03-01T10:56:24.333914 #8503]  INFO -- : Testing ----> [MediaWiki] https://209.123.98.171:443/mediawiki/index.php?title=Special:UserLogin&returnto=Main_Page
I, [2016-03-01T10:56:24.556641 #8503]  INFO -- : Testing ----> [MediaWiki] http://209.123.98.171:80/mediawiki/index.php?title=Special:UserLogin&returnto=Main_Page
I, [2016-03-01T10:56:24.696290 #8503]  INFO -- : Testing ----> [qdPM] https://209.123.98.171:443/qdPM/
I, [2016-03-01T10:56:24.952809 #8503]  INFO -- : Testing ----> [qdPM] http://209.123.98.171:80/qdPM/
I, [2016-03-01T10:56:25.127407 #8503]  INFO -- : Testing ----> [WebPageTest] https://209.123.98.171:443/gettext.php
I, [2016-03-01T10:56:25.308416 #8503]  INFO -- : <<<Primary path {https://209.123.98.171:443/gettext.php} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:25.308474 #8503]  INFO -- : Testing ----> [WebPageTest] https://209.123.98.171:443/work/resultimage.php
I, [2016-03-01T10:56:25.497824 #8503]  INFO -- : Testing ----> [WebPageTest] http://209.123.98.171:80/gettext.php
I, [2016-03-01T10:56:25.616883 #8503]  INFO -- : <<<Primary path {http://209.123.98.171:80/gettext.php} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:25.616946 #8503]  INFO -- : Testing ----> [WebPageTest] http://209.123.98.171:80/work/resultimage.php
I, [2016-03-01T10:56:25.753009 #8503]  INFO -- : Testing ----> [GestioIP] https://209.123.98.171:443/gestioip/
I, [2016-03-01T10:56:26.029832 #8503]  INFO -- : Testing ----> [GestioIP] http://209.123.98.171:80/gestioip/
I, [2016-03-01T10:56:26.153932 #8503]  INFO -- : Testing ----> [PolarBear CMS] https://209.123.98.171:443/polarbearcms
I, [2016-03-01T10:56:27.429978 #8503]  INFO -- : Testing ----> [PolarBear CMS] http://209.123.98.171:80/polarbearcms
I, [2016-03-01T10:56:27.551044 #8503]  INFO -- : Testing ----> [JBoss] https://209.123.98.171:443/invoker/JMXInvokerServlet
I, [2016-03-01T10:56:27.808408 #8503]  INFO -- : Testing ----> [JBoss] http://209.123.98.171:80/invoker/JMXInvokerServlet
I, [2016-03-01T10:56:27.926572 #8503]  INFO -- : Testing ----> [Log1 CMS] https://209.123.98.171:443/log1cms2.0/
